0,1,2
20170826,10,관람객ㅋㅋ..즐거웠습니다..아이도 좋아했어요  
20170826,10,관람객아이가 너무 재미있어해서 즐거웠습니다  
20170826,8,관람객도라애몽 사랑스럽네요  
20170825,10,관람객아이들이 정말 재미있게 봤어요^^  
20170825,10,관람객애들이  재밌어  하네요.두번보고  와써요  
20170825,10,언제봐도 저 주머니는 탐이 나네요. 전보다 그림체가 더 좋아 진거 같네요. 아이디어가 대단하네요.  
20170825,9,관람객조카를 대리고 같이봤어요~^^재미있었습니다  
20170825,10,"작화 좋고, 스토리 좋고, 음악 좋고, 재미있었습니다!  "
20170825,10,관람객아이들이 잼있다고 하네요..  
20170824,10,관람객창 재이밌는뭐시기저쩌고  
20170824,10,관람객별로기대안했는데..괜찮았슴  
20170824,9,관람객좋았습니다. 아이들이 도라에몽을 좋아해서  
20170824,8,관람객아들이 좋아하네요초1남입니다  
20170824,10,관람객아이와 너무 재미있게봤어요  
20170824,10,관람객조카들하고 봤는데 너무 재밌게 잘봤어요  
20170824,7,관람객좀더 사실적인 근거에 의해 제작해주었으면?  
20170824,10,관람객도라에몽은 정말 독창성과 상상력은 최고 인것 같아요..과학과 마술 사이의 그 중간 어딘가의 상상력!!!  
20170824,10,관람객재미있었습니다 즐거운시간보냈어요  
20170824,9,관람객진구는 믿고 보는 잼나는  
20170824,10,관람객넘 재미있다고 하네여~~^^~  
20170823,5,관람객이번꺼는영아님노잼노잼  
20170823,5,관람객4세 남아가 보기엔 좀 긴듯했지만 그래도 좋아하는 도라에몸이라 그런지 끝까지 보긴했어요  
20170823,10,관람객믿고보는 도라에몽보고나서도 재미있다고 주저리주저리..재미지다고아이들이 최고라네요^^  
20170823,8,관람객잘있었음  정말 또 기대된다  
20170823,8,관람객아들이 넘무나 좋아하는 도라에몽 왠만한 극장판 은 거의  다봤지만 역시 극장판 도라에몽은 언제나 우리에게 감동을 주는군요.  
20170823,8,관람객재밌었습니다. 즐겁게 봤습니다.  
20170823,8,관람객도라에몽 목소리가 티비랑 달라서 좀 어색했어요아들은 그냥그랬다고 하고 저는 잤어요.  
20170823,10,관람객아이들이 너무 좋아했습니다 지금도 도라애몽 얘기를 하면서 또 보러 가지하네요~~  
20170823,6,관람객스탠바이 미보단 조금 지루했네요그래도 도라에몽은 언제나 좋아요~  
20170822,10,관람객아들과재미있게봤네요~^^  
20170822,7,관람객작가님의 상상력은  풍부 하나  흥미롭다거나 전혀 재미를 느끼지 못했습니다.아이들도 지루해 하더군요..  
20170822,8,관람객아이와 함께꽤볼만한영화였음  
20170822,10,관람객초4아들과 함께 봤는데 너무 좋아했어요  
20170822,10,관람객초등1학년 아들이 엄청잼났다고 가짜 도라에몽 나올 때 진짜 도라에몽이 불쌍했다고^^  
20170822,10,관람객초등학교아이에게 보여줬어요아주 만족스러워했습니다  
20170822,10,관람객아이들도 어른도 재밌게 봤어요  
